                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                             Generated by UCC v.2014.08f on 11 11 2015                             
                       GUCC -outdir D:\Development\ucc_2014.08zf\count_out_1                       

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
18,21,18,Medium,Narrowphase.prototype.circleHeightfield,D:\Development\1_Breakout\source\phaser.js
9,9,9,Low,convexHeightfield_tilePos,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Ray,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Ray.prototype.update,D:\Development\1_Breakout\source\phaser.js
3,5,3,Low,Ray.prototype.intersectBodies,D:\Development\1_Breakout\source\phaser.js
6,9,6,Low,Ray.prototype.intersectBody,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Ray.prototype.intersectShape,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Ray.prototype.getAABB,D:\Development\1_Breakout\source\phaser.js
6,8,4,Low,Ray.prototype.reportIntersection,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,distanceFromIntersectionSquared,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.reset,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.getHitDistance,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.hasHit,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.getHitPoint,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.stop,D:\Development\1_Breakout\source\phaser.js
1,3,1,Low,RaycastResult.prototype.shouldStop,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RaycastResult.prototype.set,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,SAPBroadphase,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,SAPBroadphase.prototype.setWorld,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,SAPBroadphase.sortAxisList,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,SAPBroadphase.prototype.sortList,D:\Development\1_Breakout\source\phaser.js
7,8,7,Low,SAPBroadphase.prototype.getCollisionPairs,D:\Development\1_Breakout\source\phaser.js
6,7,6,Low,SAPBroadphase.prototype.aabbQuery,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Constraint,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Constraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Constraint.prototype.setStiffness,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Constraint.prototype.setRelaxation,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,DistanceConstraint,D:\Development\1_Breakout\source\phaser.js
6,8,6,Low,DistanceConstraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,DistanceConstraint.prototype.setMaxForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,DistanceConstraint.prototype.getMaxForce,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,GearConstraint,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,GearConstraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,GearConstraint.prototype.setMaxTorque,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,GearConstraint.prototype.getMaxTorque,D:\Development\1_Breakout\source\phaser.js
4,6,4,Low,LockConstraint,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,LockConstraint.prototype.setMaxForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LockConstraint.prototype.getMaxForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,LockConstraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,PrismaticConstraint,D:\Development\1_Breakout\source\phaser.js
8,10,8,Low,PrismaticConstraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,PrismaticConstraint.prototype.enableMotor,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,PrismaticConstraint.prototype.disableMotor,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,PrismaticConstraint.prototype.setLimits,D:\Development\1_Breakout\source\phaser.js
3,4,3,Low,RevoluteConstraint,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,RevoluteConstraint.prototype.setLimits,D:\Development\1_Breakout\source\phaser.js
7,9,7,Low,RevoluteConstraint.prototype.update,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.enableMotor,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.disableMotor,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RevoluteConstraint.prototype.motorIsEnabled,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.setMotorSpeed,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.getMotorSpeed,D:\Development\1_Breakout\source\phaser.js
2,4,2,Low,AngleLockEquation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,AngleLockEquation.prototype.computeGq,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,AngleLockEquation.prototype.setRatio,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,AngleLockEquation.prototype.setMaxTorque,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,ContactEquation,D:\Development\1_Breakout\source\phaser.js
2,3,2,Low,ContactEquation.prototype.computeB,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,Equation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.update,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.gmult,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeB,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeGq,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeGW,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeGWlambda,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeGiMf,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeGiMGt,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.addToWlambda,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Equation.prototype.computeInvC,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,FrictionEquation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,FrictionEquation.prototype.setSlipForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,FrictionEquation.prototype.getSlipForce,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,FrictionEquation.prototype.computeB,D:\Development\1_Breakout\source\phaser.js
1,3,1,Low,RotationalLockEquation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RotationalLockEquation.prototype.computeGq,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RotationalVelocityEquation,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,RotationalVelocityEquation.prototype.computeB,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,var EventEmitter,D:\Development\1_Breakout\source\phaser.js
4,5,4,Low,,D:\Development\1_Breakout\source\phaser.js
5,6,5,Low,,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,,D:\Development\1_Breakout\source\phaser.js
4,4,4,Low,,D:\Development\1_Breakout\source\phaser.js
9,11,9,Low,ContactMaterial,D:\Development\1_Breakout\source\phaser.js
1,2,1,Low,Material,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,PolyK.GetArea,D:\Development\1_Breakout\source\phaser.js
10,12,10,Low,PolyK.Triangulate,D:\Development\1_Breakout\source\phaser.js
1,3,1,Low,PolyK._PointInTriangle,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,PolyK._convex,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.crossLength,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.crossVZ,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.crossZV,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,vec2.rotate,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.rotate90cw,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.toLocalFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.toGlobalFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.vectorToLocalFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.vectorToGlobalFrame,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.centroid,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.create,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.clone,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.fromValues,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.copy,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.set,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.add,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.subtract,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.multiply,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.divide,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.scale,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.distance,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.squaredDistance,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.length,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.squaredLength,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.negate,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,vec2.normalize,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.dot,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.str,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.lerp,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,vec2.reflect,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,vec2.getLineSegmentsIntersection,D:\Development\1_Breakout\source\phaser.js
2,5,2,Low,vec2.getLineSegmentsIntersectionFraction,D:\Development\1_Breakout\source\phaser.js
15,21,15,Medium,Body,D:\Development\1_Breakout\source\phaser.js
2,3,2,Low,Body.prototype.updateSolveMassProperties,D:\Development\1_Breakout\source\phaser.js
1,1,1,Low,Body.prototype.setDensity,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Body.prototype.getArea,D:\Development\1_Breakout\source\phaser.js
2,2,2,Low,Body.prototype.getAABB,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,Body.prototype.updateAABB,D:\Development\1_Breakout\source\phaser.js
3,3,3,Low,Body.prototype.updateBoundingRadius,D:\Development\1_Breakout\source\phaser.js
3,4,3,Low,Body.prototype.addShape,D:\Development\1_Breakout\source\phaser.js
