                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2014.08f on 12 1 2015                              
ucc.exe -dir d:\Development\GitHub\Breakout\source\ -extfile JavaScript -outdir d:\Metriken\count_out_6\

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,1,1,Low,RaycastResult.prototype.set,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,SAPBroadphase,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,SAPBroadphase.prototype.setWorld,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,SAPBroadphase.sortAxisList,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,SAPBroadphase.prototype.sortList,d:\Development\GitHub\Breakout\source\\phaser.js
7,8,7,Low,SAPBroadphase.prototype.getCollisionPairs,d:\Development\GitHub\Breakout\source\\phaser.js
6,7,6,Low,SAPBroadphase.prototype.aabbQuery,d:\Development\GitHub\Breakout\source\\phaser.js
4,4,4,Low,Constraint,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,Constraint.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Constraint.prototype.setStiffness,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,Constraint.prototype.setRelaxation,d:\Development\GitHub\Breakout\source\\phaser.js
3,3,3,Low,DistanceConstraint,d:\Development\GitHub\Breakout\source\\phaser.js
6,8,6,Low,DistanceConstraint.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,DistanceConstraint.prototype.setMaxForce,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,DistanceConstraint.prototype.getMaxForce,d:\Development\GitHub\Breakout\source\\phaser.js
4,5,4,Low,GearConstraint,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,GearConstraint.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,GearConstraint.prototype.setMaxTorque,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,GearConstraint.prototype.getMaxTorque,d:\Development\GitHub\Breakout\source\\phaser.js
4,6,4,Low,LockConstraint,d:\Development\GitHub\Breakout\source\\phaser.js
2,2,2,Low,LockConstraint.prototype.setMaxForce,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,LockConstraint.prototype.getMaxForce,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,LockConstraint.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
1,1,1,Low,PrismaticConstraint,d:\Development\GitHub\Breakout\source\\phaser.js
8,10,8,Low,PrismaticConstraint.prototype.update,d:\Development\GitHub\Breakout\source\\phaser.js
